created_at,text,clean-text,location,place
Sat Nov 13 05:03:12 +0000 2021,b'COVID is the biggest killer officers for the past two years. The should get vaccinated https://t.co/6wjGMyk7bi',covid is the biggest killer officers for the past two years the should get vaccinated,"Arizona, USA","Mesa, AZ"
Sat Nov 13 05:06:19 +0000 2021,b'@veda_padma is there any malefic aspect on this state that it is feeling the impact of so many virus outbreaks. The\xe2\x80\xa6 https://t.co/hEqUPpsxHa',is there any malefic aspect on this state that it is feeling the impact of so many virus outbreaks the,"Bengaluru, India","Bengaluru South, India"
Sat Nov 13 05:08:25 +0000 2021,b'Wadanka waxu marayaa xaalad adag ee coronavirus ah.Hadana isbitalka @Mogadishu_EAH ma ilaalinayo sharciyada\xe2\x80\xa6 https://t.co/SJEaEmwFE7',wadanka waxu marayaa xaalad adag ee coronavirus ah hadana isbitalka ma ilaalinayo sharciyada,Somalia,Türkiye Mogadishu Eğitim ve Araştırma Hastanesi
Sat Nov 13 05:07:54 +0000 2021,b'Solidarity in action. https://t.co/phbCvT3Lwq',solidarity in action,Hong Kong,"Kowloon City District, Hong Kong"
Sat Nov 13 05:09:04 +0000 2021,"b'@djsbu Launched in the hectic stages of Covid19, our customers have given us positive responses. We have returning\xe2\x80\xa6 https://t.co/6pDfRGBZyT'",launched in the hectic stages of covid19 our customers have given us positive responses we have returning,"Johannesburg, South Africa","Midrand, South Africa"
Sat Nov 13 05:06:56 +0000 2021,b'I wish we had these videos when I was in school! https://t.co/vYM7BHDSkr',i wish we had these videos when i was in school,"Grand Rapids, MI","Grand Rapids, MI"
Sat Nov 13 05:10:58 +0000 2021,b'i bet they were all vaxed https://t.co/EpzsG2GKHt',i bet they were all vaxed,"Vancouver, British Columbia","Vancouver, British Columbia"
Sat Nov 13 05:09:49 +0000 2021,b'This comment wins #Twitter https://t.co/23C2K5LdFs',this comment wins,"Ontario, Canada","Clarington, Ontario"
Sat Nov 13 05:09:07 +0000 2021,b'Do you really believe yourself.  Look in the mirror your one of Satan minions https://t.co/WWe9VawBXt',do you really believe yourself look in the mirror your one of satan minions,Somewhere in the World ,"North Carolina, USA"
Sat Nov 13 05:12:14 +0000 2021,"b'Of course he did, and then some...\n\nI and @nysenategop have been pushing for a legislative investigation demanding\xe2\x80\xa6 https://t.co/0ICrioIfb4'",of course he did and then some i and have been pushing for a legislative investigation demanding,"Big Flats, NY","Big Flats, NY"
Sat Nov 13 05:15:00 +0000 2021,b'I was pleased they took the time to also note each shot in my international shot card along with the Covid card https://t.co/TQxAHk6VLQ',i was pleased they took the time to also note each shot in my international shot card along with the covid card,AZ,"Fountain Hills, AZ"
Sat Nov 13 05:15:31 +0000 2021,b'My nurse practitioner is very thorough. All notes taken https://t.co/TQxAHk6VLQ',my nurse practitioner is very thorough all notes taken,AZ,"Fountain Hills, AZ"
Sat Nov 13 05:15:00 +0000 2021,"b""even on our youtube channel there's a flood of comments from anti maskers asking to remove the mask. just because y\xe2\x80\xa6 https://t.co/Ha70KcdHeQ""",even on our youtube channel theres a flood of comments from anti maskers asking to remove the mask just because y,"Selangor, Malaysia","Damansara, Selangor"
Sat Nov 13 05:19:16 +0000 2021,b'Now it happens what nobody really wants........ https://t.co/9nEBMlTR3F',now it happens what nobody really wants,"Neuwied, Deutschland","Neuwied, Deutschland"
Sat Nov 13 05:18:40 +0000 2021,b'Remarkable video explaining the Covid-19 vaccine. Everyone should view this asap. https://t.co/MIagTDojRt',remarkable video explaining the covid 19 vaccine everyone should view this asap,"37°55'36.7248'N 78°1'29.6472""W","Virginia, USA"
Sat Nov 13 05:19:55 +0000 2021,"b'COVID19 | India reports 11,850 new cases and 555 deaths in the last 24 hours; Active caseload stands at 1,36,308; l\xe2\x80\xa6 https://t.co/eyxivJ7cgK'",covid19 india reports 11 850 new cases and 555 deaths in the last 24 hours active caseload stands at 1 36 308 l,"Bandipore, Jammu & Kashmir",Jammu & Kashmir
Sat Nov 13 05:21:49 +0000 2021,b'So the government of Brazil is protecting its citizens from being killed through vaccines https://t.co/QUFNFfCYvD',so the government of brazil is protecting its citizens from being killed through vaccines,,"Randburg, South Africa"
Sat Nov 13 05:25:26 +0000 2021,"b'Demonstrators gather in The Hague in the Netherlands, near the ministry where the Prime Minister has just announced\xe2\x80\xa6 https://t.co/Z3r9fG9QGZ'",demonstrators gather in the hague in the netherlands near the ministry where the prime minister has just announced,,"El Puerto de Santa María, Spain"
Sat Nov 13 05:24:08 +0000 2021,b'80% of Deer population in USA has #COVID19 \nThis is alarming news as it can lead to new mutations and variants.\n\nSu\xe2\x80\xa6 https://t.co/LdMUMVyCY6',80 of deer population in usa has this is alarming news as it can lead to new mutations and variants su,Delhi/Pune/Edinburgh,"New Delhi, India"
Sat Nov 13 05:24:14 +0000 2021,b'New Zealand. Hospitalisations increase and more people with covid19 self-isolate at home. https://t.co/zaRLTTIbP2',new zealand hospitalisations increase and more people with covid19 self isolate at home,New Zealand,"Hawke's Bay Region, New Zealand"
Sat Nov 13 05:28:42 +0000 2021,b'@NEGameandParks @NeblandMagazine @DrAndrewLittle @NECFWRU @AWESMLab @LarkinPowell @mduceyOWH @LJSPeterSalter\xe2\x80\xa6 https://t.co/IhZffrTyMs',,"Lincoln, Nebraska, USA","Lincoln, NE"
Sat Nov 13 05:26:03 +0000 2021,"b'Demonstrators gather in The Hague in the Netherlands, near the ministry where the Prime Minister has just announced\xe2\x80\xa6 https://t.co/moo57dWoqD'",demonstrators gather in the hague in the netherlands near the ministry where the prime minister has just announced,,"El Puerto de Santa María, Spain"
Sat Nov 13 05:30:54 +0000 2021,b'Finally done with Covid-19 Vaccine..Pfizer\xf0\x9f\x92\x89 https://t.co/HcIrkgV6Bw',finally done with covid 19 vaccine pfizer,,"Calgary, Alberta"
Sat Nov 13 05:29:49 +0000 2021,b'Of great interest https://t.co/Crvlf4xSFl',of great interest,Mountains of North Carolina ,"Waynesville, NC"
Sat Nov 13 05:32:27 +0000 2021,b'Orders of Financial assistance to family members of victims deceased due to Covid-19 by Mandrem MLA &amp; GTDC Chairman\xe2\x80\xa6 https://t.co/9w9vmQSIMB',orders of financial assistance to family members of victims deceased due to covid 19 by mandrem mla amp gtdc chairman,,"Goa, India"
Sat Nov 13 05:31:38 +0000 2021,b'We are open now...\n#aashaherbals\nBelow\n#GRAVITY #gym \n#Jammu \n#JammuAndKashmir \n#india\nFor #BOOKINGS and\xe2\x80\xa6 https://t.co/wFxzY8RoGT',we are open now below for and,member of this planet.🙏,"New Delhi, India"
Sat Nov 13 05:42:24 +0000 2021,b'Simply amazing \xf0\x9f\x91\x8f \n\n#COVID19 #coronavirus #pandemic #vaccination https://t.co/sEdH4xhDZ8',simply amazing,"Kolhapur, India","Haveli, India"
Sat Nov 13 05:42:35 +0000 2021,"b""Today's local Covid19 situation in #Chonburi.\n\nhttps://t.co/NUWG0DLP5s https://t.co/jsjZZ1kDJv""",todays local covid19 situation in,"Mueang Pattaya, Thailand","Amphoe Bang Lamung, Chon Buri Province"
Sat Nov 13 05:46:35 +0000 2021,"b""\xf0\x9f\x9a\xa8 @DanePineau will miss tonight's #NBLBlitz game due to COVID-19 protocols.\n\n@CammyGliddon will also miss as he con\xe2\x80\xa6 https://t.co/qjsOP7rKRj""",will miss tonights game due to covid 19 protocols will also miss as he con,,"Melbourne, Victoria"
Sat Nov 13 05:50:49 +0000 2021,b'The latest.. \nhttps://t.co/VSQwCJaIO0',the latest,,"Brampton, Ontario"
Sat Nov 13 05:50:48 +0000 2021,b'Orders of Financial assistance to family members of victims deceased due to Covid-19 in the presence of Mandrem Man\xe2\x80\xa6 https://t.co/8cBQTBmF8W',orders of financial assistance to family members of victims deceased due to covid 19 in the presence of mandrem man,"Goa, India","Goa, India"
Sat Nov 13 05:50:44 +0000 2021,b'Follow these hone remedies and get relief from cold and cough.\n#coldandcough #coughtreatment #homeremedies\xe2\x80\xa6 https://t.co/fw90DQk0QV',follow these hone remedies and get relief from cold and cough,"New Delhi, India","New Delhi, India"
Sat Nov 13 05:52:41 +0000 2021,"b'Ask any question. 7 year Leiomyosarcoma warrior.Had 2 limb salvage surgeries,above knee amputation December 2020. S\xe2\x80\xa6 https://t.co/5gfeiZEIqv'",ask any question 7 year leiomyosarcoma warrior had 2 limb salvage surgeries above knee amputation december 2020 s,Richie McPeak,"Forest City, FL"
Sat Nov 13 05:53:45 +0000 2021,"b'JUST IN: project madad, a voluntary group of indian and indian diaspora doctors and professionals, inaugurated indi\xe2\x80\xa6 https://t.co/vI3AorUjJA'",just in project madad a voluntary group of indian and indian diaspora doctors and professionals inaugurated indi,Ranchi | Bangalore,"Ranchi, India"
Sat Nov 13 05:56:05 +0000 2021,"b""The cosmic energy is too much for the vaseline, that's why they come up with dumb as lies to destroy humanity. They\xe2\x80\xa6 https://t.co/pYgwKF3KOe""",the cosmic energy is too much for the vaseline thats why they come up with dumb as lies to destroy humanity they,Emanzini naseNtabeni,"Soweto, South Africa"
Sat Nov 13 05:54:24 +0000 2021,"b'Well, maybe the @Broncos offense will perform better on Sunday vs. the @Eagles. #FireShurmur #BroncosCountry\xe2\x80\xa6 https://t.co/wlccw8Vnzr'",well maybe the offense will perform better on sunday vs the,,"Blackfoot, ID"
