favorite_count,source,text,location,place,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,Twitter for iPhone,b'\xe7\x94\x9f\xe3\x81\x8d\xe3\x81\xa6\xe3\x81\x9f\xe3\x80\x82 https://t.co/loJcAPm48L',沖縄⇄東京⇄埼玉,"Naha-shi, Okinawa",,False,Wed Jan 20 05:05:43 +0000 2021,0,b'1351757779682246656'
0,Twitter for iPhone,b'Ningu\xc3\xa9m fala disso aqui. https://t.co/b3ZprQyfZQ',"São Paulo, Brasil","Sao Paulo, Brazil",,False,Wed Jan 20 05:05:30 +0000 2021,0,b'1351757723113840640'
6,Twitter for Android,"b'\xce\x9c\xce\xb7\xcf\x84\xcf\x83\xce\xbf\xcf\x84\xce\xac\xce\xba\xce\xb7\xcf\x82: ""\xce\x95\xce\xbb\xce\xbb\xce\xb7\xce\xbd\xce\xb9\xce\xba\xce\xae \xce\xba\xce\xb1\xce\xb9\xce\xbd\xce\xbf\xcf\x84\xce\xbf\xce\xbc\xce\xaf\xce\xb1 \xcf\x84\xce\xbf \xcf\x80\xce\xb9\xcf\x83\xcf\x84\xce\xbf\xcf\x80\xce\xbf\xce\xb9\xce\xb7\xcf\x84\xce\xb9\xce\xba\xcf\x8c \xce\xb5\xce\xbc\xce\xb2\xce\xbf\xce\xbb\xce\xb9\xce\xb1\xcf\x83\xce\xbc\xce\xbf\xcf\x8d"".\n#\xce\xba\xce\xbf\xce\xb9\xce\xbd\xce\xbf\xce\xb2\xce\xbf\xcf\x85\xce\xbb\xce\xb5\xcf\x85\xcf\x84\xce\xb9\xce\xba\xce\xb7_\xce\xb4\xce\xb9\xce\xba\xcf\x84\xce\xb1\xcf\x84\xce\xbf\xcf\x81\xce\xb9\xce\xb1\n#\xce\xba\xcf\x85\xce\xb2\xce\xb5\xcf\x81\xce\xbd\xce\xb7\xcf\x83\xce\xb7_\xcf\x87\xce\xbf\xcf\x85\xce\xbd\xcf\x84\xce\xb1\xe2\x80\xa6 https://t.co/ufzwRciEz1'",Athens,"Attiki, Greece",,False,Wed Jan 20 05:06:35 +0000 2021,1,b'1351757998390210561'
301,Twitter for iPhone,"b'Tonight, we light city hall and other buildings in our city in amber in solidarity with fellow cities across our na\xe2\x80\xa6 https://t.co/c5ZVuTjWBQ'","Houston, TX","Houston, TX",,False,Wed Jan 20 05:07:13 +0000 2021,40,b'1351758157547249664'
0,Twitter for iPhone,"b'Amigos, de nuevo... https://t.co/bXboW6zp4l'",México DF,"Torreón, Coahuila de Zaragoza",,False,Wed Jan 20 05:08:36 +0000 2021,0,b'1351758505141809159'
9,Twitter for iPhone,"b'I\xe2\x80\x99m so angry.  None of this is surprising, but I guess it\xe2\x80\x99s good to know that it\xe2\x80\x99s not just anecdotal.  If you know\xe2\x80\xa6 https://t.co/XBgTz3aP6O'","Seattle, WA","Seattle, WA",,False,Wed Jan 20 05:09:29 +0000 2021,1,b'1351758726995169281'
0,Twitter for Android,b'Just say no and get it out of the way. Ugh this makes it worse. https://t.co/VHM3g4eaDE',"Vancouver, Canada","Vancouver, British Columbia",,False,Wed Jan 20 05:09:13 +0000 2021,0,b'1351758661182320643'
1,Twitter for iPhone,b'Nun ist zweite Impfung gegen Corona geschafft. Ich lebe noch. Bill Gates hat mich pers\xc3\xb6nlich noch nicht kontaktiert\xe2\x80\xa6 https://t.co/QQtNEIe8QF',irgendwo*irgendwann*irgendwie,"Hamburg, Germany",,False,Wed Jan 20 05:10:30 +0000 2021,0,b'1351758983103721474'
3,Twitter for Android,b'Tener                       tacos de\ncovid-19                 gto capital\xe2\x80\xa6 https://t.co/SNuc3z5G1q',Irapuato/Gto capital,"Cuerámaro, Guanajuato",,False,Wed Jan 20 05:10:32 +0000 2021,1,b'1351758989080604673'
98,Twitter for Android,b'PANAM\xc3\x81 se convertir\xc3\xa1 desde HOY  en CUARTO PA\xc3\x8dS de Am\xc3\xa9rica Latina en aplicar VACUNA @pfizer para frenar pandemia\xe2\x80\xa6 https://t.co/67IQRjoA6g',Panamá,Panama,,False,Wed Jan 20 05:11:28 +0000 2021,42,b'1351759224456568832'
5,Twitter for iPhone,b'20/1/2021\n\nEl d\xc3\xada que EE.UU. dejo de ser gobernado por Donald Trump\n\nTambi\xc3\xa9n el mismo d\xc3\xada que llegaron las primeras\xe2\x80\xa6 https://t.co/8PLHWpvp4f',Panamá,Panama,,False,Wed Jan 20 05:12:22 +0000 2021,1,b'1351759453578797057'
1,Twitter for Mac,"b'@sebastiankurz , @vanderbellen Herr Bundeskanzler, Herr Bundespr\xc3\xa4sident meine Mutter ist \xc3\xbcber 70 und wartet bereits\xe2\x80\xa6 https://t.co/5fAqSW16d5'","Götzis, Österreich","Götzis, Österreich",sebastiankurz,False,Wed Jan 20 05:11:53 +0000 2021,0,b'1351759330194894848'
4,Twitter for Android,"b'Active COVID-19 cases stand at 1,97,201, while 1,02,45,741 people have recovered from the disease so far: Health ministry'","Srinagar, India","Anantnag, Jammu & Kashmir",,False,Wed Jan 20 05:11:45 +0000 2021,0,b'1351759298708209664'
1,Twitter for Android,b'Este es el panorama de COVID19 Coronavirus de este martes 19 de enero del 2021 en Jalisco. https://t.co/uiHCJ8pD4k',Guadalajara Jalisco Mexico,"Zapopan, Jalisco",,False,Wed Jan 20 05:13:09 +0000 2021,1,b'1351759647401717766'
0,Twitter for iPhone,b'Aciertos de Santos. Si sr. 150.000 hect\xc3\xa1reas de coca heredadas de esa paz. https://t.co/6hpfDmx7Xe',"Bogotá, D.C., Colombia","Anapoima, Colombia",,False,Wed Jan 20 05:13:34 +0000 2021,0,b'1351759754293633035'
1,Twitter for iPhone,b'I dare anyone to step up and help people like Dave and the donators .  where is democrats and republicans??? Where\xe2\x80\xa6 https://t.co/0lFClW4L89',New York ,"New York, USA",,False,Wed Jan 20 05:14:22 +0000 2021,0,b'1351759955330789377'
0,Twitter for iPhone,b'#COVID19 #CovidVaccine #coronavirus #JoeBiden #Trumpfarewell https://t.co/3tbAfM4QOA',"Frisco, TX.","Frisco, TX",,False,Wed Jan 20 05:15:25 +0000 2021,0,b'1351760218582114304'
13,Twitter for iPhone,"b'Israeli MoH reports that more then 200,000 vaccines were administered y\xe2\x80\x99day, both first and second components. \n#Israel #COVID19'",Rosh HaAyin/ראש העין/روش هاعين,Israel,,False,Wed Jan 20 05:16:32 +0000 2021,3,b'1351760499432714240'
0,Twitter for Android,b'He said as the needle slowly entered his arm.. https://t.co/UZvtQv3CzB',lost in space,"Mississippi, USA",,False,Wed Jan 20 05:19:26 +0000 2021,0,b'1351761228994142208'
2,Twitter for Android,b'#TangkapGabener4nies https://t.co/Ogu2tWxX9E',,"Sawangan, Indonesia",,False,Wed Jan 20 05:19:56 +0000 2021,1,b'1351761357935239168'
0,Twitter for Android,b'Ontario premier pleads with incoming Biden administration for COVID-19 vaccine help https://t.co/HyhL40S1vM\nNot goi\xe2\x80\xa6 https://t.co/eUJQixcuWg',"Winnipeg, Manitoba","Winnipeg, Manitoba",,False,Wed Jan 20 05:21:04 +0000 2021,0,b'1351761640803491840'
18,Twitter for iPhone,"b'400,000 died w/ #COVID19. The suffering of their families, providers, providers families... devastating domino effe\xe2\x80\xa6 https://t.co/7JWyq148aX'","North Carolina, USA","North Carolina, USA",,False,Wed Jan 20 05:21:02 +0000 2021,1,b'1351761634973380611'
0,Twitter for iPhone,b'Listening to @Powerfm987 now &amp; the doc says WHO haven\xe2\x80\x99t listened this \xe2\x80\x9cdrug\xe2\x80\x9d thus they can\xe2\x80\x99t prescribe it to patien\xe2\x80\xa6 https://t.co/j8epqroCk0',Mbombela now Jo’burg,"Randburg, South Africa",,False,Wed Jan 20 05:21:21 +0000 2021,0,b'1351761710831566850'
0,Twitter for iPhone,"b'Yes, I\xe2\x80\x99d mind @PresidencyZA . K*ka mos leyo after niy\xe2\x80\x99tyile imali as government. https://t.co/QRaevsrAHY'","ÜT: -34.0042013,25.652l8137",South Africa,,False,Wed Jan 20 05:21:02 +0000 2021,0,b'1351761634126135299'
2,Twitter for iPad,b'Sad to hear of the passing of Gerald Locklin a fantastic poet taken by Covid 19 #poetry #poem #art #verse https://t.co/HPZkDJ5sev',west kirby,"Hoylake, England",,False,Wed Jan 20 05:21:45 +0000 2021,2,b'1351761811897528320'
6,Twitter for iPhone,b'My grandma did not die of #COVID19 but because of it and how things were handled she died in a nursing home without family by her side.',"North Carolina, USA","North Carolina, USA",MFranklinPhD,False,Wed Jan 20 05:23:14 +0000 2021,0,b'1351762185157029889'
