favorite_count,source,text,location,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,Twitter for Android,b'@Jazzman70910273 Spain Creates a List of Those Who  Refuse to Get COVID-19 Vaccine https://t.co/VBcUwRxJuP',"Toronto, Ontario",Jazzman70910273,False,Wed Jan 20 05:05:18 +0000 2021,1,b'1351757672379518976'
0,iweller.com,b'More contagious UK coronavirus variant detected in at least 60 countries: WHO - The UK coronavirus strain has been\xe2\x80\xa6 https://t.co/HnOoSmtqUq',,,False,Wed Jan 20 05:04:59 +0000 2021,0,b'1351757593035698176'
0,Twitter Web App,"b""Biden leads observance of America's 400,000 COVID-19 dead https://t.co/JZTGmx5sxZ via @Reuters""",,,False,Wed Jan 20 05:04:27 +0000 2021,0,b'1351757459166285824'
0,Twitter Web App,b'WORKING smoke alarms save lives!  Check yours today. https://t.co/ShfvlkGDVF',,,False,Wed Jan 20 05:04:49 +0000 2021,1,b'1351757551814258688'
0,Twitter for iPhone,"b'24 million total U.S. Covid-19 infections were reported on Monday, Jan. 18. \n\nThe nation passed the 400,000 mark fo\xe2\x80\xa6 https://t.co/rJmC4mWdoI'","Durham, N.C., aka #DurhamNC",MillikenReports,False,Wed Jan 20 05:04:31 +0000 2021,0,b'1351757476123668480'
0,Twibble.io,b'SIR Simulation of COVID-19 Pandemic in Malaysia: Will the Vaccination Program be Effective?. (arXiv:2101.07494v1 [p\xe2\x80\xa6 https://t.co/6qmpcee5zP',"Arlington, VA and Worldwide ",,False,Wed Jan 20 05:05:12 +0000 2021,0,b'1351757647461150722'
0,Echobox,"b'Expect changes to gatherings, personal services and shopping in our COVID-19 restrictions https://t.co/eCWGtbX12x'","Winnipeg, Manitoba",,False,Wed Jan 20 05:04:47 +0000 2021,0,b'1351757544566489088'
0,Twitter for iPhone,b'Did alagari try out all the Pesticides manufactured in TN before giving it to farmers or Did he burst any crackers\xe2\x80\xa6 https://t.co/hHNMBOqhxx',Dubai,,False,Wed Jan 20 05:04:26 +0000 2021,0,b'1351757454745300993'
2,Twitter for iPhone,b'Harambe would have never let COVID-19 happen.',"Toledo, OH",,False,Wed Jan 20 05:05:03 +0000 2021,0,b'1351757611033571335'
0,The Social Jukebox,"b""When things feel uneasy in your life, refocus on love. Loving yourself. Your loved ones. After all, it's the one th\xe2\x80\xa6 https://t.co/cVjFX3nS2z""",Sun Valley Idaho,,False,Wed Jan 20 05:04:24 +0000 2021,0,b'1351757447619375106'
0,Twitter for iPad,b'ICYMI: This hospital has been called Ontario\xe2\x80\x99s COVID \xe2\x80\x98ground zero\xe2\x80\x99  - @TorontoStar: https://t.co/SZOUj7Lojt\xe2\x80\xa6 https://t.co/MH5qJgBwWz',"British Columbia, Canada",,False,Wed Jan 20 05:05:03 +0000 2021,0,b'1351757609821302787'
0,Twitter for Android,"b'\xe2\x80\x9cTo heal, we must remember. It\xe2\x80\x99s hard sometimes to remember. But that\xe2\x80\x99s how we heal. It\xe2\x80\x99s important to do that as a\xe2\x80\xa6 https://t.co/HUFasaxThq'",New York,,False,Wed Jan 20 05:05:01 +0000 2021,0,b'1351757602145914881'
1,Twitter Web App,b'@TheDailyShow Found this about Dr. Drew.\n\nhttps://t.co/QZrTMPcyEk',"Missouri, USA",TheDailyShow,False,Wed Jan 20 05:05:16 +0000 2021,1,b'1351757666687864833'
2,TweetDeck,b'Random fact:\nTo have one minute of silence for every covid-19 death in Utah you would have to be silent for more than a day. (25+ hours)',Salt Lake City,,False,Wed Jan 20 05:04:56 +0000 2021,0,b'1351757580004073474'
0,Twitter for iPhone,b'Mental note: Buy air quality monitor / CO2 meter https://t.co/VdI9bA0MpT',San Francisco,,False,Wed Jan 20 05:05:04 +0000 2021,0,b'1351757615575965697'
1,Twitter for iPhone,b'For full remix of this song CLICK on this link https://t.co/MK9mmbiiJJ #spotify #COVID19 #ImpeachmentDay #JoeBiden\xe2\x80\xa6 https://t.co/I9eA060LdW',,,False,Wed Jan 20 05:05:10 +0000 2021,0,b'1351757639051427841'
4,Hootsuite Inc.,b'Fighting #COVID19! Day &amp; Night working for Hebei! \n\nEvery mark left by a PPE has been worth it. Our hard work and m\xe2\x80\xa6 https://t.co/gHqwCxhGHr',Global,,False,Wed Jan 20 05:05:02 +0000 2021,0,b'1351757608017940483'
15,SocialNewsDesk,"b'Lloyd Combs, one of the most recognizable media members in Southwest Virginia for much of the last four decades, di\xe2\x80\xa6 https://t.co/7K0ejmgzLg'","ÜT: 36.319708,-82.363649",,False,Wed Jan 20 05:05:09 +0000 2021,6,b'1351757635679350787'
1,Twitter for iPhone,b'LOOK: Public Works Minister (MPW) Archt. Eduard Guerra turned over completed 100-bed Covid-19 Isolation Centers to\xe2\x80\xa6 https://t.co/rCCx8lFVPs',Cotabato City,,False,Wed Jan 20 05:05:18 +0000 2021,1,b'1351757675449643011'
0,TweetDeck,b'PHIS WARN OF CRITICAL TIME IN COMING WEEKS IN TERMS OF COVID-19\nRead more:\nhttps://t.co/eMRokRYG8T',,,False,Wed Jan 20 05:04:40 +0000 2021,0,b'1351757515994800128'
1,Twitter Web App,b'China rushes to build quarantine center in new #Covid19 hotspot #Hebei.\n#lockdown #ChinaVirus #Shijiazhuang \n\nhttps://t.co/03ma1XI7ha',"Garden City, ID",,False,Wed Jan 20 05:05:10 +0000 2021,0,b'1351757638472667136'
0,Twitter for Android,b'#Biden sets the standard high. \xf0\x9f\x87\xba\xf0\x9f\x87\xb2\nTrue Presidential to the bone.\nWhat an honorable man.\n#JoeBiden \xf0\x9f\x87\xba\xf0\x9f\x87\xb2\xf0\x9f\x98\xb7\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe\xe2\x80\xa6 https://t.co/FVi5v3KbtO',"Milwaukee, WI",,False,Wed Jan 20 05:04:48 +0000 2021,0,b'1351757547607355392'
2,Twitter for Android,"b'According to the Department of Veterans Affairs, 405,399 Americans died in the roughly 4 years we were involved in\xe2\x80\xa6 https://t.co/AsDFyIppd0'",,,False,Wed Jan 20 05:05:03 +0000 2021,0,b'1351757609649532929'
48,Twitter for iPhone,b'#Teamwork with our partners @SCVSHERIFF and @CHP_Newhall \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc https://t.co/G3TNhK9brE',"Los Angeles, California, USA",,False,Wed Jan 20 05:04:52 +0000 2021,5,b'1351757562773835778'
1,Twitter for iPhone,"b'UK Covid-19 strain detected in at Least 60 Countries WHO said Wednesday, 10 more than a week ago. The South African\xe2\x80\xa6 https://t.co/V0ssWmqdOj'",Jordan,,False,Wed Jan 20 05:05:08 +0000 2021,0,b'1351757633410256898'
5,Twitter for iPad,"b'Black Friday (28/11/20), Christmas (25/12/20) and Incwala (02/01/21).\n\nTo compare, the first wave was controlled th\xe2\x80\xa6 https://t.co/0Now9njDBh'",Swaziland,,False,Wed Jan 20 05:04:24 +0000 2021,3,b'1351757448219140105'
1,Twitter for Android,"b'Saying goodbye to #Trump is saying goodbye to #division, #polarization, #ConspiracyTheories &amp; failure in dealing wi\xe2\x80\xa6 https://t.co/P2wnJ2PH9N'","Silver Spring, MD U.S.A",,False,Wed Jan 20 05:05:01 +0000 2021,0,b'1351757600870772736'
4,SocialFlow,b'Singapore Airlines has set up pre-departure coronavirus tests for passengers through its booking platforms as part\xe2\x80\xa6 https://t.co/HDWikrjdeO',,,False,Wed Jan 20 05:05:08 +0000 2021,2,b'1351757632747556866'
