id,location
2249520006,Raleigh NC
1074923287400964096,art only: dltzydreamlng
1038686412,"California, USA"
1375346270022295556,High levels of banter
1243266099883298821,"Washington, USA"
2327864228,Brave New World
760390479779422208,Amerika Birleşik Devletleri
3161804704,#champabay
502074741,"Salem, OR"
2371473374,Hyderabad 
432013276,"Oakville, Ontario"
1410052582970646529,TAELICE  ˚ ☂︎ 𓂃｡
1381679112981422082,any pronouns | 19
14228300,Texas / Kansas
973077210,United States
39555604,"San Francisco, CA"
1345605679382454272,Morocco
953633634107326466,LISA BEST GIRL 3270
1066130868786405377,"New Jersey, USA"
827535198178967552,"New York, USA"
1070923080808181760,she/her || bi 🏳️‍🌈
1048948261069893632,Nor California
3577040772,Nagaland India
1129269575403560965,"Hyderabad, India"
119537327,"San Francisco Bay area, CA"
892526744242094080,"North Carolina, USA"
759190258726662145,NOT in NY or Ca !!
1268386863217328128,upstate NY
1386391997368385537,Earth 
1148125574239420418,Republic of the Philippines
62440015,Jaipur
1553214211,"A southern state, 'Merica"
861440675677655040,Planet Earth
270281571,"Bangkok, Thailand"
1029496778855309312,Sydney NSW Australia
853818115,lonzmoney in the streets
1359387145744510977,United States
193566462,BC Canada
2344293016,"Queens, NY"
390250492,in Cape Cod
1248760361504866306,"Chicago, IL"
407127209,Kingston Jamaica
1352266481086722048,neo city
869639987662290944,North Dakota
3094999480,3rd stone from the sun
98259180,United States
588560706,Switzerland
1407836045769465864,"Portland, Oregon "
41710264,the interwebz
580434617,"Delaware, USA"
189806241,ClownWorld 
297635441,"Ontario, Canada"
1437776883060551683,London
1357259774,"Ottawa, Canada"
933017742797664256,Here and There
1298682610974175236,Fly Over Country US
1384588970466623497,"Alabama, USA"
905594187193630720,"Flagstaff, AZ"
1242639382978400258,New England
1455262170724257795,The GC
315994104,Atlanta 
1128099459353571328,"Boulder, CO"
56948046,washington dc 
31303037,"Melbourne, Australia"
241361557,United States
1591984998,"Tennessee, USA"
25431907,"Milwaukee, WI"
883058860378001408,"Kingston, Ontario YGK"
3494431934,"Panipat, India"
72527051,Mumbai
823630199120072704,"New York, USA"
196317821,"Toronto, Canada"
278862143,"Michigan, USA"
1201845742664466433,Chennai
467841441,Somewhere near Phillydelfya
31548897,NJ
22205025,Alabama
8270202,"Fremont, CA"
1433858989574479872,504697214
256024645,Australia
3997432706,West coast
1314666986878595072,Nowhere yet everywhere
77280075,"Montreal, Quebec"
149283816,San Francisco
40841652,Reykjavik
1077792280503738369,"Colorado, USA"
1359387145744510977,United States
1427468321700548624,Kaurna country
102076580,india
1134746515,IN-OH-KS-DC/NOVA-MO-AZ
1238191614092292097,Germany
771679484936413184,"Falkirk, Scotland"
1951922341,Plague Island
1406084011533893633,Seattle’ish
15851279,United States
87586011,LA
1007711863159705600, Southern California
1431373596941709312,"Queensland, Australia"
1041793256340770817,New Jersey
824877094236680192,"Rural N Ga Mts, US"
930154747876823041,she/they 19
387307304,Yankton
1863835063,USA 
957745577483296768,"Ohio, USA"
89491245,"Delray Beach, FL"
1319341600825167872,World
1015815726,Canada JAMAIC born February 22
1328721863451688960,Lisa in my area. 
1138773711924764673,LALISA
1375186382008750081,USA
2902428217,The Twilight Zone
1109457770229563392,Seoul
9609372,"Queensland, Australia"
241219388,"Prosper, TX"
1448938145068748806,"Portugal Cove-St. Philip's, Ne"
880838390224101376,1 Dance Mentor LISA
126945319,The Twilight Zone 🍥
611113646,"Juneau, AK"
3008083310,"Dubai, United Arab Emirates"
23033825,Tejas
2436149616,Continental Europe
20254657,"Portland, OR"
1944541326,Hellinois
1082825593325006849,South United States
1014537258865774593,"Georgia, USA"
982640901725057024,"Minneapolis, MN"
14141460,Auckland
184081138,Earth
1325263182601072640,"Indiana, USA"
952983724223844354,NOT in a land of common sense
1297389808172404737,Thodupuzha 
485918430,Málaga
619548080,"Long Island, NY"
1299782897071775745,"Minnesota, USA"
1327907664790056962,Malaysia
3542224753," Vancouver island, B.C."
9229672,New York
750795038901280768,America
31636393,"Massachusetts, USA"
1268675572923879424,Moon
885961952,USA
826823477600583680,Michigan
16974191,"Gardner, KS"
1189279683701067776,"she/they, 19"
114707915,Bharat | Malaysia | Singapore
236163032,"Buffalo, NY"
1065829609,"Ontario, Canada"
525637764,Arizona
58422071,"Brisbane, Queensland"
1090733869089935361,Brazil
849807067,"Ithaca, NY"
74727399,Small Blue Planet
31565017,"St. Louis metro area MO, USA"
1014191433153212416,Estados Unidos
2884227712,Poland
953544386561716224,"Washington, USA"
2266678434,Maryland
245750555,Canada
1009668884935335936,"Long An, Việt Nam"
1369300408871583744,With all the Whos in Whoville
1424810485720002561,Ethiopia
957112680413741057,Toronto Core
2664183662,3rd rock
278150819,Delhi
1293477250105393152,Republic of the Philippines
297695858,Fruition 🦋
22214972,"West Palm Beach, FL"
533215624,USA
829820934370516993,United States
1447718695770464256,"Kansas, USA"
49818472,Bananalandia
512581065,The Land of Lincoln
731279206672388096,"Florida, USA"
948466849297158146,"Alabama, USA"
13886322,Unceded Wurundjeri Land
97724314,"Lake Fork, TX"
2913810623,"Alpharetta, Georgia"
1345735045382721536,BANGKOK
2296260426,"Tennessee, USA"
2180503773,Gloucestershire
4804525392,US of ‘merica...
1194398838246821889,Outside the Asylum
2149788721,"Phoenix, AZ"
48338207,Texas
713828525891919872,N.C.
882412914019356673,"New York, USA"
118200525,"Scottsdale, AZ"
1059506876,Somewhere you cant find me.
15467680,"Oregon, USA"
70287144,NEW YORK
1325837883803013121,Melur
389591418,For entertainment purpose only
1348483272855048192,"Ruteng, Indonesia"
1357582847700324353,Kansas
241983890,On the road
1091013244851011585,ohio
1238191614092292097,Germany
150186114,"WhereThe$$$Reside, TX"
278315777,"Wisconsin, USA"
1307852167722672128,Philippines
568885231,Canberra
1019553298968219649,Thailand
312252364,"Caraquet, Nouveau-Brunswick"
1375805212753989632,PH 
87298600,"                   
California"
1517064806,canadaman2019.blogspot.com
2170714698,"Minneapolis, Minnesota"
1432852546096336899,RETWEETS R NOT ENDORSEMENTS 
3219670842,"Los Angeles, CA"
459917750,Worldwide Mundial 
719320379378892800,"Pennsylvania, USA"
771753237598900224,"Los Angeles, CA"
161571109,Orange
1403044885028958208,"It Sucks, Reality "
38705211,United States
1431766010533662722,"Toronto, Ontario"
20691693,"Indianapolis, IN"
1029385925095292929,Merley Wimborne Dorset England
974355667673911297,South Africa
1245726966625587200,quantum field
1284297869927702528,United States
52737322,"Milan, Italy"
819577287788154881,"Toronto, Ontario"
4063301421,"Chicago, IL"
1234555169645498368,Nashville
1666932853,"Las Cruces, NM"
36640869,"Marquette, MI"
148405713,"Kolkata, India"
316542703,The Netherlands
1124428471269249024,"Virginia, USA"
40850073,"Windsor, Ontario, Canada"
860654500431880192,"Las Vegas, NV"
859034240,"Council Bluffs, IA"
2892501173,"Dublin, Ireland"
879637374,"Seattle, WA"
1250175123774230530,"Toms River, NJ"
619125643,"New York, USA"
734737741829705728,Ciudad de Manila
1435374076730634241,Indonesia
1156023866,Canada
4890933121,"Las Vegas, NV"
82510657,United States 
783496523560521728,"Hollywood, Los Angeles"
865579550499000320,ประเทศไทย
763864100346605570,"Newport Beach, CA (org. NYC)"
585028989,United States
1316188595783372801,read cataclysm by blue000jay
209570874,"55 Dean Street, Soho, London"
2158564604,"Melbourne, Victoria"
599762945,"Minnesota, USA"
62853784,Somewhere in space. No DMs.
85793802,Maldives
1874505086,Brazil
34742160,Ireland
749515428,"Calgary, Alberta Canada"
584280380,Wisconsin-boo
763157770027794432,New England
983307226902216705,Fiji
1376284074742927361,"Los Angeles, CA"
30243334,"Portland, OR, Cascadia"
360994615,Bay Area & San Francisco
803097283675897856,𝔏𝔬𝔰 𝔄𝔫𝔤𝔢𝔩𝔢𝔰
1112809070560464896,Wales/Victoria BC/WV-By God
51543823,Florida Panhandle
84476502,Catchmeifyoucan
54258668,"San Diego, Ca"
1159051339747381249,Australia
794904130477297664,"Amravati, India"
1272706401220132864,"Salt Lake City, UT"
15824998,United States of America
2942795488,"Oakland, CA"
1365522607185956870,USA
1136282437103656960,"kanyakumari, India"
3292301876,"New South Wales, Australia"
246340419,"Mattoon,IL USA"
228830074,At the Center of my Universe
1402751938505105417,"Gun Barrel City, TX"
395087470,Singapore
1238191614092292097,Germany
1431431600588279808,sa litter box ni lisa🦾
1408156002604793861,"Toronto, Ontario"
1031700179987116033,she/they/he
1173297075364225025,"Atlanta, Georgia "
3219837296,"California, USA"
911232762211913728,"Atlanta, GA"
48219360,"Wichita, Kansas"
826823477600583680,Michigan
2568637741,"Katherine, Northern Territory"
1338075703242153984,bharat ki rajdhani
275420026,Philadelphia
17624653,"Lima, Peru"
261907354,"Christchurch, NZ"
341180845,"Tacoma, WA"
579777206,Australia
2792624479,"Alberta, Canada"
2334232885,Header by @andavs/andavs.tumblr.com
1079417394823491585,Sector 001
183036873,"Maui, Hawaii"
825922405453402115,Global 🌎🏝🌏✈
994802175766351873,asia
990824905607270400,"Victoria, Australia"
3222725309,Right here
463566009,Highway to hell
